address,overall,zoning,lot_sqft,section,status,flags
"5104 Evergreen Ct, Austin, TX, 78731",CAUTION,SF-3,12366.2265625,1_protected_trees,CAUTION,"MANUAL: City has no public private-lot tree inventory — need arborist survey (protected ≥19"" DBH; heritage ≥24"" certain species) | INFO: 8 tree permit point(s) within ~300 ft (neighborhood activity)"
"5104 Evergreen Ct, Austin, TX, 78731",CAUTION,SF-3,12366.2265625,2_access_and_utilities,CAUTION,PASS: jurisdiction AUSTIN FULL PURPOSE | CAUTION: 1 mapped easement(s) on parcel — verify buildable envelope | MANUAL: confirm water/wastewater taps + Austin Energy capacity with utility providers | INFO: no curb inlets within ~250 ft (not a utility kill)
"5104 Evergreen Ct, Austin, TX, 78731",CAUTION,SF-3,12366.2265625,3_floodplain_watershed_drainage,CAUTION,PASS: no floodplain at parcel centroid (confirm FloodPro polygon) | INFO: watershed regulation = WATER SUPPLY SUBURBAN | INFO: watershed = Taylor Slough North | CAUTION: Edwards Aquifer Recharge Zone (CENTRAL) — water quality review | CAUTION: Wildland-Urban Interface (Proximity Zone C)
"5104 Evergreen Ct, Austin, TX, 78731",CAUTION,SF-3,12366.2265625,4_impervious_cover,CAUTION,"INFO: zoning base IC cap ~45% (SF-3); effective guidance after watershed ~30% | INFO: lot ~12,366 sqft → max IC ~3,710 sqft at 30% | INFO: existing mapped IC ~5,103 sqft (41.3%) | CAUTION: existing IC appears above effective cap — rebuild may need IC reduction | MANUAL: engineer must calculate net site area / proposed IC for permit"
"5104 Evergreen Ct, Austin, TX, 78731",CAUTION,SF-3,12366.2265625,5_far_limits_and_setbacks,CAUTION,"INFO: typical SF-3 setbacks F25 / S5 / R10 | INFO: building coverage ~40%; FAR guidance ~0.4:1 | INFO: FAR envelope ~4,946 sqft GFA at 0.4:1 | CAUTION: Subchapter F (Residential Design Standards / McMansion) applies — confirm FAR, height, setback plane | MANUAL: confirm exact standards on Property Profile + LDC for this parcel"
"5104 Evergreen Ct, Austin, TX, 78731",CAUTION,SF-3,12366.2265625,6_legal_and_title,CAUTION,"MANUAL: order title commitment (liens, deed restrictions, HOA covenants) | MANUAL: pull recorded plat + survey (easements beyond city GIS layer) | CAUTION: GIS easement — 10' Drainage & Public Utility Easement (status DEDICATED, doc 4/299)"
"5104 Evergreen Ct, Austin, TX, 78731",CAUTION,SF-3,12366.2265625,7_profit_margin,CAUTION,MANUAL: provide --ask --build-cost --arv to compute margin (formula: profit = ARV − land − build; margin = profit / (land+build))
